name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Ryan Hayes,7,6,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Bubba Jenkins,11,4,0,170.18,65.77,182.88,Unknown,2.41,37.0,1.58,67.0,7.23,68.0,100.0,0.0,36.0
Taiei Kin,6,3,0,180.34,83.91,182.88,Orthodox,2.71,60.0,1.33,52.0,0.0,0.0,55.0,0.0,55.0
Martin Buschkamp,9,0,0,175.26,65.77,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Egan Inoue,13,8,0,175.26,86.18,182.88,Southpaw,1.66,36.0,3.31,57.0,0.0,0.0,0.0,0.0,60.0
Bobby Flynn,6,4,0,177.8,77.11,182.88,Unknown,0.38,25.0,0.77,0.0,0.0,0.0,0.0,0.0,39.0
Chuck Grigsby,23,10,0,198.12,92.99,182.88,Orthodox,0.71,16.0,3.29,46.0,0.0,0.0,66.0,0.0,44.0
Jon Olav Einemo,6,3,0,198.12,114.76,182.88,Orthodox,2.15,52.0,3.05,52.0,1.73,55.0,43.0,0.0,50.0
Brian Johnston,5,5,0,190.5,104.33,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
Albert Tumenov,18,4,0,180.34,77.11,185.42,Orthodox,3.76,42.0,3.34,58.0,0.2,20.0,75.0,0.0,34.0
Dennis Olson,14,11,0,182.88,77.11,182.88,Unknown,1.02,42.0,5.27,38.0,2.77,40.0,0.0,0.0,39.0
Dave Strasser,25,8,0,177.8,77.11,182.88,Orthodox,3.04,45.0,1.88,59.0,0.72,33.0,33.0,0.0,56.0
Rocky Lee,3,2,0,175.26,65.77,182.88,Orthodox,2.47,51.0,5.33,44.0,1.0,10.0,33.0,0.0,38.0
Rama Supandhi,8,4,0,165.1,56.7,167.64,Southpaw,2.2,42.0,3.53,48.0,1.0,11.0,0.0,0.0,34.0
Jonathan Meunier,8,1,0,190.5,77.11,182.88,Switch,3.47,50.0,1.43,69.0,0.58,33.0,58.0,0.0,38.0
Bassil Hafez,8,4,1,180.34,77.11,182.88,Orthodox,2.13,25.0,5.53,39.0,3.0,15.0,50.0,0.0,33.0
Sokun Koh,4,1,0,185.42,92.99,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Nora Cornolle,7,1,0,170.18,61.23,170.18,Orthodox,2.67,51.0,1.2,57.0,0.0,0.0,37.0,0.0,36.0
Piera Rodriguez,9,1,0,160.02,52.16,160.02,Orthodox,3.46,46.0,2.98,57.0,3.31,41.0,66.0,0.0,33.0
Danny Abbadi,4,6,0,180.34,70.31,182.88,Orthodox,3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0,42.0
Leo Sylvest,10,16,0,180.34,92.99,182.88,Orthodox,0.0,0.0,6.58,27.0,0.0,0.0,0.0,0.0,52.0
Scott Carson,4,2,0,187.96,97.52,182.88,Unknown,0.62,66.0,6.22,23.0,0.0,0.0,0.0,0.0,44.0
Fedor Nikolov,0,0,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Serhiy Sidey,10,1,0,180.34,61.23,182.88,Switch,4.52,35.0,4.52,42.0,0.0,0.0,0.0,0.0,29.0
James Giboo,13,5,0,180.34,77.11,182.88,Orthodox,1.2,27.0,7.08,39.0,0.0,0.0,0.0,0.0,47.0
Eric Smith,1,1,0,177.8,77.11,182.88,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Muhammad Naimov,10,2,0,175.26,65.77,177.8,Orthodox,3.37,46.0,4.66,41.0,1.58,28.0,57.0,0.0,31.0
Fares Ziam,14,4,0,185.42,70.31,190.5,Orthodox,2.82,47.0,2.01,65.0,0.97,23.0,75.0,0.0,28.0
Len Bentley,10,6,0,175.26,70.31,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
James Gabert,6,4,0,177.8,80.74,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
Jeremie Holloway,8,3,0,182.88,77.11,182.88,Unknown,0.81,50.0,0.51,79.0,0.0,0.0,0.0,0.0,39.0
